customer_id,customer_gender,customer_age,customer_tenure_days,rfm_frequency,rfm_recency,rfm_monetary,rfm_max_spend,rfm_unique_cats,rfm_avg_views,rfm_rated_ratio,rfm_device_mode,customer_top_1_cat,customer_top_2_cat,customer_top_3_cat,freq_cat_blouse,freq_cat_dress,freq_cat_jacket,freq_cat_jeans,freq_cat_shirt,freq_cat_shoes,freq_cat_skirt,freq_cat_slacks,freq_cat_suit,freq_cat_t-shirt
CUST_0001,unknown,20,239,5,11,1288.774,1358.17,2,3.8,0.4,mobile,blouse,skirt,unknown,4,0,0,0,0,0,1,0,0,0
CUST_0002,female,27,299,1,174,1296.13,1296.13,1,4.0,0.0,desktop,dress,unknown,unknown,0,1,0,0,0,0,0,0,0,0
CUST_0003,unknown,23,238,10,5,1299.399,1454.15,3,4.8,0.2,mobile,blouse,dress,skirt,4,4,0,0,0,0,2,0,0,0
CUST_0004,female,25,415,5,27,1298.5520000000001,1485.13,3,6.4,0.4,mobile,dress,skirt,blouse,1,2,0,0,0,0,2,0,0,0
CUST_0005,unknown,22,303,10,42,1279.764,1367.76,3,5.7,0.1,mobile,blouse,dress,skirt,6,2,0,0,0,0,2,0,0,0
CUST_0006,female,21,403,3,118,1353.8500000000001,1500.0,3,8.666666666666666,0.0,mobile,blouse,dress,skirt,1,1,0,0,0,0,1,0,0,0
CUST_0007,female,26,26,11,6,1225.388181818182,1370.82,3,4.909090909090909,0.45454545454545453,mobile,dress,blouse,skirt,3,5,0,0,0,0,3,0,0,0
CUST_0008,unknown,21,226,8,6,1245.42,1500.0,3,5.0,0.0,mobile,blouse,dress,skirt,3,3,0,0,0,0,2,0,0,0
CUST_0009,female,26,258,6,76,1230.435,1340.52,3,7.166666666666667,0.0,mobile,blouse,dress,skirt,3,2,0,0,0,0,1,0,0,0
CUST_0010,unknown,24,78,6,20,1230.8933333333332,1500.0,3,6.166666666666667,0.3333333333333333,mobile,blouse,dress,skirt,2,2,0,0,0,0,2,0,0,0
CUST_0011,male,26,113,8,28,1238.86625,1325.62,3,5.75,0.125,mobile,dress,skirt,blouse,1,5,0,0,0,0,2,0,0,0
CUST_0012,unknown,24,33,7,33,1212.3771428571429,1333.37,3,5.857142857142857,0.0,mobile,dress,blouse,skirt,1,5,0,0,0,0,1,0,0,0
CUST_0013,unknown,21,185,3,67,1080.3066666666666,1153.01,3,6.666666666666667,0.3333333333333333,mobile,blouse,dress,skirt,1,1,0,0,0,0,1,0,0,0
CUST_0014,unknown,23,243,6,41,1200.7116666666666,1333.37,3,6.0,0.16666666666666666,mobile,dress,skirt,blouse,1,3,0,0,0,0,2,0,0,0
CUST_0015,unknown,21,125,8,6,1265.915,1500.0,3,4.5,0.25,mobile,dress,blouse,skirt,2,4,0,0,0,0,2,0,0,0
CUST_0016,female,26,264,4,90,1398.545,1500.0,2,5.25,0.25,mobile,blouse,dress,unknown,2,2,0,0,0,0,0,0,0,0
CUST_0017,female,22,162,10,6,1277.205,1500.0,3,4.9,0.1,mobile,blouse,dress,skirt,6,2,0,0,0,0,2,0,0,0
CUST_0018,unknown,22,156,8,146,1243.74,1500.0,3,5.125,0.25,mobile,dress,skirt,blouse,1,5,0,0,0,0,2,0,0,0
CUST_0019,female,27,131,10,69,1291.661,1500.0,3,3.4,0.1,mobile,skirt,dress,blouse,2,3,0,0,0,0,5,0,0,0
CUST_0020,unknown,22,399,7,35,1315.5614285714287,1500.0,3,5.428571428571429,0.2857142857142857,mobile,dress,blouse,skirt,2,3,0,0,0,0,2,0,0,0
CUST_0021,female,21,123,13,26,1272.5223076923078,1447.81,3,4.769230769230769,0.07692307692307693,mobile,blouse,dress,skirt,6,5,0,0,0,0,2,0,0,0
CUST_0022,female,27,179,3,27,1217.8533333333332,1294.66,2,4.666666666666667,0.6666666666666666,mobile,blouse,skirt,unknown,2,0,0,0,0,0,1,0,0,0
CUST_0023,unknown,23,183,6,48,1211.0366666666666,1386.13,2,5.166666666666667,0.16666666666666666,mobile,skirt,dress,unknown,0,2,0,0,0,0,4,0,0,0
CUST_0024,female,26,154,11,46,1258.8127272727272,1454.15,3,5.909090909090909,0.2727272727272727,mobile,dress,skirt,blouse,3,4,0,0,0,0,4,0,0,0
CUST_0025,unknown,23,394,4,148,1218.565,1310.13,2,5.0,0.5,mobile,dress,blouse,unknown,1,3,0,0,0,0,0,0,0,0
CUST_0026,male,25,145,7,76,1250.81,1447.81,3,6.142857142857143,0.2857142857142857,mobile,dress,blouse,skirt,1,5,0,0,0,0,1,0,0,0
