purchase_id,customer_id,customer_date_of_birth,customer_gender,customer_signup_date,item_id,item_title,item_category,item_price,item_img_filename,item_avg_rating,item_num_ratings,item_release_date,purchase_timestamp,customer_item_views,purchase_item_rating,purchase_device,label
0,CUST_0094,03/05/1996,female,07/02/2025,ITEM_0101,Exclusive Premium Blouse Collection,blouse,1310.13,ITEM_0101.png,3.5,28,16/12/2024,07/02/2025,5,,mobile,1
1,CUST_0279,05/02/1974,female,03/02/2025,ITEM_0311,Casual Jeans That Stands Out,jeans,1406.33,ITEM_0311.png,3.4,48,19/03/2024,08/02/2025,3,,desktop,1
2,CUST_0775,09/10/1954,male,01/02/2025,ITEM_0752,Stylish Blouse For Every Occasion,blouse,2356.83,ITEM_0752.png,3.73,19,03/02/2025,12/02/2025,6,,desktop,1
3,CUST_0722,05/07/1963,male,13/02/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,13/02/2025,11,,desktop,1
4,CUST_0741,07/08/1957,female,22/01/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,17/02/2025,6,,desktop,1
5,CUST_0676,24/01/1958,female,28/02/2025,ITEM_0657,Exclusive Premium Blouse Collection,blouse,2196.83,ITEM_0657.png,3.57,17,31/01/2025,28/02/2025,3,,desktop,1
6,CUST_0712,11/07/1968,male,14/03/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,14/03/2025,5,,desktop,1
7,CUST_0279,05/02/1974,female,03/02/2025,ITEM_0375,Premium Shoes Must Have,shoes,1359.41,ITEM_0375.png,3.36,18,07/03/2025,15/03/2025,7,,mobile,1
8,CUST_0342,05/05/1973,male,10/03/2025,ITEM_0352,Classic Jeans Must Have,jeans,1275.4,ITEM_0352.png,3.66,24,04/03/2025,15/03/2025,9,,desktop,1
9,CUST_0327,16/01/1976,,15/03/2025,ITEM_0272,Classic Shoes That Stands Out,shoes,1175.02,ITEM_0272.png,3.54,20,03/03/2025,15/03/2025,10,,desktop,1
10,CUST_0386,29/02/1972,male,19/11/2024,ITEM_0272,Classic Shoes That Stands Out,shoes,1175.02,ITEM_0272.png,3.54,20,03/03/2025,15/03/2025,9,,mobile,1
11,CUST_0711,04/09/1954,male,15/03/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,17/03/2025,3,,desktop,1
12,CUST_0319,24/04/1974,male,26/12/2024,ITEM_0295,Premium Jacket That Stands Out,jacket,1329.55,ITEM_0295.png,3.14,21,12/03/2025,18/03/2025,2,5,desktop,1
13,CUST_0158,12/10/1999,female,29/01/2025,ITEM_0186,Premium Blouse That Stands Out,blouse,1231.89,ITEM_0186.png,3.43,36,01/03/2025,21/03/2025,3,,mobile,1
14,CUST_0248,26/11/1976,male,10/02/2025,ITEM_0260,Modern Shoes That Stands Out,shoes,1257.95,ITEM_0260.png,3.44,19,21/03/2025,22/03/2025,7,,mobile,1
15,CUST_0386,29/02/1972,male,19/11/2024,ITEM_0285,Step Up Your Style With Classic Jeans,jeans,1032.04,ITEM_0285.png,3.57,27,08/03/2025,22/03/2025,5,,desktop,1
16,CUST_0273,23/06/1975,male,18/03/2025,ITEM_0375,Premium Shoes Must Have,shoes,1359.41,ITEM_0375.png,3.36,18,07/03/2025,22/03/2025,4,4.5,desktop,1
17,CUST_0683,09/01/1971,female,24/03/2025,ITEM_0698,Modern Shoes Must Have,shoes,2086.32,ITEM_0698.png,3.49,33,02/02/2025,24/03/2025,4,5,desktop,1
18,CUST_0367,12/02/1975,female,24/03/2025,ITEM_0370,Elegant Jeans Must Have,jeans,1321.03,ITEM_0370.png,3.52,41,03/03/2025,24/03/2025,2,4.5,desktop,1
19,CUST_0796,08/11/1962,,08/01/2025,ITEM_0651,Exclusive Casual Slacks Collection,slacks,2534.45,ITEM_0651.png,3.51,24,09/03/2025,24/03/2025,6,,desktop,1
20,CUST_0769,13/10/1950,female,22/03/2025,ITEM_0752,Stylish Blouse For Every Occasion,blouse,2356.83,ITEM_0752.png,3.73,19,03/02/2025,24/03/2025,3,4,desktop,1
